condition,strategy,network_topology,user_activity,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
top1_a0_25_credibility,credibility,1,0.25,fake_repost_share_decisions,10,0.0006250025770202228,0.00040582143617207654,-0.0002930292916334947,0.0015430344456739402,0.48702003164285046,0.1579241209969619,0.30626468965429654,0.30688969223131674,0.20407268553410748,0.6316964839878476
top1_a0_25_credibility,credibility,1,0.25,target_share_decisions,10,0.0016058858821298317,0.000498194735181644,0.00047889109347032106,0.0027328806707893425,1.019331737415371,0.010432219694118068,0.1890091107849136,0.19061499666704346,0.8496341131181128,0.031296659082354204
top1_a0_25_credibility,credibility,1,0.25,participation_rate,10,0.0,0.0,0.0,0.0,,,0.249596,0.249596,0.0,
top1_a0_25_credibility,credibility,1,0.25,cumulative_fake_reposts,10,31.2,20.282340430367825,-14.6818416828682,77.0818416828682,0.4864481164586396,0.1583604504215331,15288.5,15319.7,0.20407495830199168,0.6334418016861324
top1_a0_25_credibility,credibility,1,0.25,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top1_a0_25_combined,combined,1,0.25,fake_repost_share_all,10,0.0008440000000000003,0.00012008052853536763,0.0005723589722611243,0.0011156410277388764,2.2226437356128197,6.128348331089464e-05,0.0764425,0.07728650000000001,1.1040978513261606,0.0001225669666217893
top1_a0_25_combined,combined,1,0.25,fake_repost_share_final100,10,0.0009500000000000009,0.00026795107347756274,0.0003438525598532642,0.0015561474401467375,1.1211613143290955,0.006260640219006318,0.07504999999999999,0.076,1.265822784810128,0.012521280438012636
top1_a0_25_combined,combined,1,0.25,target_share_all,10,0.0021435000000000017,0.00014400819806910668,0.0018177308232363095,0.002469269176763694,4.706914089236874,1.2063660316412728e-07,0.047174499999999994,0.049318,4.543768349426071,4.825464126565091e-07
top1_a0_25_combined,combined,1,0.25,target_share_final100,10,0.0023740000000000002,0.0003162987336188516,0.0016584825541601138,0.0030895174458398867,2.373467348208281,3.671257288526775e-05,0.047704,0.050078,4.976521884957236,0.00011013771865580325
top1_a0_25_combined,combined,1,0.25,fake_repost_share_decisions,10,0.0033810124711351032,0.00048047588130724724,0.0022941005146841337,0.004467924427586072,2.2252314053999855,6.0734236166393724e-05,0.30626468965429654,0.30964570212543163,1.103951119847182,0.0001224515729521929
top1_a0_25_combined,combined,1,0.25,target_share_decisions,10,0.008587231839742054,0.0005761714660516051,0.0072838414308134735,0.009890622248670636,4.713043427088203,1.1928146339445007e-07,0.1890091107849136,0.19759634262465567,4.543289899667352,4.771258535778003e-07
top1_a0_25_combined,combined,1,0.25,participation_rate,10,0.0,0.0,0.0,0.0,,,0.249596,0.249596,0.0,
top1_a0_25_combined,combined,1,0.25,cumulative_fake_reposts,10,168.8,24.016105707073603,114.47179445222461,223.1282055477754,2.2226437356128117,6.128348331089627e-05,15288.5,15457.3,1.1040978513261603,0.00012256696662179254
top1_a0_25_combined,combined,1,0.25,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top1_a0_5_credibility,credibility,1,0.5,fake_repost_share_all,10,0.0009820000000000024,0.0003625896057834847,0.0001617653261207151,0.0018022346738792898,0.8564384121203066,0.024064544404799482,0.1319315,0.1329135,0.7443256538430946,0.1443872664287969
top1_a0_5_credibility,credibility,1,0.5,fake_repost_share_final100,10,0.0011080000000000007,0.0005596602143761467,-0.0001580393626841785,0.00237403936268418,0.6260590904022464,0.0790885423161853,0.14057199999999997,0.14168000000000003,0.7882081780155372,0.4745312538971118
top1_a0_5_credibility,credibility,1,0.5,target_share_all,10,0.0020764999999999963,0.0002615212440913947,0.0014848978444547503,0.0026681021555452424,2.510874244329008,2.3503881186899177e-05,0.070676,0.07275250000000001,2.9380553511800276,0.00014102328712139507
top1_a0_5_credibility,credibility,1,0.5,target_share_final100,10,0.0018340000000000023,0.000418537665900906,0.0008872020211814258,0.002780797978818579,1.3856858536889596,0.001766172162118001,0.075926,0.07776,2.4155098385269897,0.010597032972708005
top1_a0_5_credibility,credibility,1,0.5,fake_repost_share_decisions,10,0.0019643407518916494,0.0007251025675765401,0.00032404478488500996,0.0036046367188982886,0.8566775452783951,0.02403476590419936,0.2637962655958725,0.2657606063477641,0.7446431235311561,0.14420859542519615
top1_a0_5_credibility,credibility,1,0.5,target_share_decisions,10,0.004153602128878361,0.0005252053002932852,0.002965505196880324,0.005341699060876399,2.5008969281241265,2.426191961673651e-05,0.1413169404120867,0.14547054254096503,2.939210342911661,0.00014557151770041907
top1_a0_5_credibility,credibility,1,0.5,participation_rate,10,0.0,0.0,0.0,0.0,,,0.500139,0.500139,0.0,
top1_a0_5_credibility,credibility,1,0.5,cumulative_fake_reposts,10,196.4,72.51792115669676,32.35306522414294,360.4469347758571,0.8564384121203067,0.024064544404799482,26386.3,26582.7,0.7443256538430929,0.1443872664287969
top1_a0_5_credibility,credibility,1,0.5,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top1_a0_5_combined,combined,1,0.5,fake_repost_share_all,10,0.00583,0.00039779810624654015,0.004930118164606828,0.006729881835393172,4.634531554897768,1.379970278165207e-07,0.1319315,0.13776149999999998,4.418959839007364,8.279821668991243e-07
top1_a0_5_combined,combined,1,0.5,fake_repost_share_final100,10,0.005494000000000004,0.0005880971197193724,0.004163631888205833,0.006824368111794175,2.9541980197514626,6.286654732249824e-06,0.14057199999999997,0.146066,3.908317445864045,3.771992839349894e-05
top1_a0_5_combined,combined,1,0.5,target_share_all,10,0.010946000000000001,0.000409298722749588,0.010020101962607863,0.011871898037392139,8.456975149023458,6.913782938642639e-10,0.070676,0.081622,15.487577112456846,4.148269763185583e-09
top1_a0_5_combined,combined,1,0.5,target_share_final100,10,0.0111,0.0005777427339799824,0.009793055136072565,0.012406944863927436,6.0755903905639075,1.2935069007472407e-08,0.075926,0.087026,14.619497932197142,7.761041404483444e-08
top1_a0_5_combined,combined,1,0.5,fake_repost_share_decisions,10,0.011653563186105286,0.0007900325253228757,0.009866385450102589,0.013440740922107983,4.664593082382343,1.3047196261923802e-07,0.2637962655958725,0.27544982878197777,4.4176376643474455,7.828317757154281e-07
top1_a0_5_combined,combined,1,0.5,target_share_decisions,10,0.021883235885825726,0.0008099160670615324,0.02005107845345713,0.023715393318194323,8.544202391861456,6.310388992759263e-10,0.1413169404120867,0.1632001762979124,15.48521771134671,3.786233395655558e-09
top1_a0_5_combined,combined,1,0.5,participation_rate,10,0.0,0.0,0.0,0.0,,,0.500139,0.500139,0.0,
top1_a0_5_combined,combined,1,0.5,cumulative_fake_reposts,10,1166.0,79.55962124930795,986.0236329213658,1345.9763670786342,4.634531554897772,1.379970278165195e-07,26386.3,27552.3,4.418959839007364,8.27982166899117e-07
top1_a0_5_combined,combined,1,0.5,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top1_a1_0_credibility,credibility,1,1.0,fake_repost_share_all,10,-8.749999999999592e-05,0.00014138845230231748,-0.0004073429001126358,0.00023234290011264392,-0.19570148110333685,0.5513473895696014,0.10543399999999999,0.10534650000000001,-0.08299030673216982,1.0
top1_a1_0_credibility,credibility,1,1.0,fake_repost_share_final100,10,-6.200000000000025e-05,0.00020505717359908126,-0.0005258715540403169,0.0004018715540403164,-0.09561295100739588,0.7692526622106056,0.095552,0.09549,-0.06488613529805787,1.0
top1_a1_0_credibility,credibility,1,1.0,target_share_all,10,0.0005119999999999998,0.00018387223825254306,9.605209919727139e-05,0.0009279479008027281,0.8805495475518401,0.021242473984390796,0.012035500000000001,0.0125475,4.254081675044658,0.04248494796878159
top1_a1_0_credibility,credibility,1,1.0,target_share_final100,10,0.00036399999999999963,0.00017673080596709176,-3.57928586055567e-05,0.0007637928586055559,0.651312068658604,0.06952182020972095,0.007626000000000001,0.00799,4.7731445056386,0.19133415871362316
top1_a1_0_credibility,credibility,1,1.0,fake_repost_share_decisions,10,-8.749999999999868e-05,0.00014138845230231642,-0.0004073429001126361,0.00023234290011263877,-0.1957014811033445,0.5513473895695862,0.10543399999999999,0.10534650000000001,-0.08299030673217245,1.0
top1_a1_0_credibility,credibility,1,1.0,target_share_decisions,10,0.0005119999999999998,0.00018387223825254306,9.605209919727139e-05,0.0009279479008027281,0.8805495475518401,0.021242473984390824,0.012035500000000001,0.0125475,4.254081675044658,0.04248494796878165
top1_a1_0_credibility,credibility,1,1.0,participation_rate,10,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,
top1_a1_0_credibility,credibility,1,1.0,cumulative_fake_reposts,10,-17.5,28.27769046046331,-81.46858002252755,46.46858002252755,-0.19570148110334726,0.5513473895695806,21086.8,21069.3,-0.08299030673217368,1.0
top1_a1_0_credibility,credibility,1,1.0,target_unique_reposters_p400,10,3.8,1.6852299546352716,-0.01225501284027386,7.612255012840274,0.7130572937887615,0.050597768879808366,452.0,455.8,0.8407079646017699,0.25298884439904185
top1_a1_0_combined,combined,1,1.0,fake_repost_share_all,10,0.003549999999999999,0.0004700839168583498,0.002486596300362647,0.004613403699637351,2.3881024836211306,3.497735370431768e-05,0.10543399999999999,0.108984,3.367035301705332,0.00011890284966040599
top1_a1_0_combined,combined,1,1.0,fake_repost_share_final100,10,0.0025239999999999963,0.0006176428309845968,0.0011267948458372294,0.003921205154162763,1.2922660822503786,0.002731286685482629,0.095552,0.09807600000000001,2.641493636972535,0.010925146741930515
top1_a1_0_combined,combined,1,1.0,target_share_all,10,0.005773499999999999,0.0006396066716697414,0.004326609186308774,0.007220390813691224,2.854474613799726,8.334023801686896e-06,0.012035500000000001,0.017809,47.97058701341862,1.6668047603373792e-05
top1_a1_0_combined,combined,1,1.0,target_share_final100,10,0.0036779999999999994,0.000764079402505612,0.0019495323066753565,0.005406467693324642,1.5222053095475074,0.0009554007862728782,0.007626000000000001,0.011304,48.22974036191974,0.0019108015725457564
top1_a1_0_combined,combined,1,1.0,fake_repost_share_decisions,10,0.003549999999999999,0.0004700839168583502,0.002486596300362646,0.004613403699637352,2.388102483621129,3.4977353704317904e-05,0.10543399999999999,0.108984,3.367035301705332,0.0001224515729521929
top1_a1_0_combined,combined,1,1.0,target_share_decisions,10,0.0057735,0.0006396066716697412,0.004326609186308775,0.007220390813691225,2.8544746137997277,8.334023801686874e-06,0.012035500000000001,0.017809,47.97058701341863,1.6668047603373748e-05
top1_a1_0_combined,combined,1,1.0,participation_rate,10,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,
top1_a1_0_combined,combined,1,1.0,cumulative_fake_reposts,10,710.0,94.01678337167016,497.3192600725292,922.6807399274708,2.388102483621126,3.4977353704318114e-05,21086.8,21796.8,3.3670353017053323,0.000118902849660399
top1_a1_0_combined,combined,1,1.0,target_unique_reposters_p400,10,21.6,3.138293945583952,14.500685872031024,28.69931412796898,2.1765073203468592,7.204606050789514e-05,452.0,473.6,4.778761061946903,0.0003602303025394757
