strategy,factor,metric,n,mu,mu_star,sigma
credibility,target_reach,cumulative_fake_reposts,80,-14.950000000000026,266.25,529.0081452317335
credibility,target_reach,fake_repost_share_all,80,-7.474999999999266e-05,0.0013312500000000043,0.002645040726158663
credibility,target_reach,fake_repost_share_decisions,80,-7.476772657659994e-05,0.0013314772573153363,0.0026454752952423744
credibility,target_reach,fake_repost_share_final100,80,-0.00021700000000000012,0.001418999999999997,0.003778413169036619
credibility,target_reach,participation_rate,80,0.0,0.0,0.0
credibility,target_reach,target_share_all,80,-7.000000000000143e-06,0.0017279999999999997,0.003426548767447531
credibility,target_reach,target_share_decisions,80,-7.0249901998251035e-06,0.0017283065950202832,0.003427147991467879
credibility,target_reach,target_share_final100,80,-3.7000000000000425e-05,0.0019190000000000001,0.005074639951061691
credibility,target_reach,target_unique_reposters_p400,80,0.39999999999999813,39.19999999999999,92.40877814624
credibility,traditional_fake_probability,cumulative_fake_reposts,80,25.59999999999999,60.59999999999998,141.48235118276241
credibility,traditional_fake_probability,fake_repost_share_all,80,0.00012799999999999682,0.00030300000000000455,0.0007074117559138233
credibility,traditional_fake_probability,fake_repost_share_decisions,80,0.00012802513376751267,0.00030305868544197644,0.0007075519995152035
credibility,traditional_fake_probability,fake_repost_share_final100,80,0.0002579999999999911,0.0004580000000000051,0.0016919873716499095
credibility,traditional_fake_probability,participation_rate,80,0.0,0.0,0.0
credibility,traditional_fake_probability,target_share_all,80,0.00036399999999999985,0.0004614999999999998,0.0013010974919445133
credibility,traditional_fake_probability,target_share_decisions,80,0.00036406916235450166,0.0004615879310654549,0.001301352522671157
credibility,traditional_fake_probability,target_share_final100,80,0.0005359999999999997,0.0006999999999999997,0.002260248446072838
credibility,traditional_fake_probability,target_unique_reposters_p400,80,8.949999999999996,12.849999999999994,42.309259243356124
credibility,unknown_fake_probability,cumulative_fake_reposts,80,-210.15000000000063,299.0500000000008,1964.6277522887926
credibility,unknown_fake_probability,fake_repost_share_all,80,-0.00105075000000001,0.00149525000000001,0.009823138761443967
credibility,unknown_fake_probability,fake_repost_share_decisions,80,-0.0010509113259154184,0.0014954889022605411,0.009824664018028962
credibility,unknown_fake_probability,fake_repost_share_final100,80,1.7999999999999363e-05,0.001168000000000001,0.005389053696785323
credibility,unknown_fake_probability,participation_rate,80,0.0,0.0,0.0
credibility,unknown_fake_probability,target_share_all,80,-0.0005480000000000018,0.0009470000000000025,0.005920875405682884
credibility,unknown_fake_probability,target_share_decisions,80,-0.0005480839003078757,0.0009471502314919187,0.005921793835744982
credibility,unknown_fake_probability,target_share_final100,80,-0.0006490000000000017,0.001721000000000005,0.009494662537913671
credibility,unknown_fake_probability,target_unique_reposters_p400,80,-7.150000000000023,19.25000000000005,97.2465351958361
credibility,wom_receiver_scale,cumulative_fake_reposts,80,-51.35,295.25,1395.2098077332084
credibility,wom_receiver_scale,fake_repost_share_all,80,-0.00025674999999999933,0.001476250000000006,0.006976049038666047
credibility,wom_receiver_scale,fake_repost_share_decisions,80,-0.00025677711396846143,0.0014765008711144702,0.00697715123767286
credibility,wom_receiver_scale,fake_repost_share_final100,80,0.0012069999999999984,0.0013989999999999962,0.004186559688493213
credibility,wom_receiver_scale,participation_rate,80,0.0,0.0,0.0
credibility,wom_receiver_scale,target_share_all,80,0.00052025,0.00090875,0.0031291305764632074
credibility,wom_receiver_scale,target_share_decisions,80,0.0005203536098587092,0.0009089262112613218,0.003129792186578409
credibility,wom_receiver_scale,target_share_final100,80,0.001393,0.001421,0.004250423180718584
credibility,wom_receiver_scale,target_unique_reposters_p400,80,14.25,23.05,82.21205985018331
