condition,strategy,window,window_start,window_end,source,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,301,325,UNKNOWN_MEDIA,30,-0.0005440000000000003,0.00021631479827793332,-0.0009864134374699858,-0.00010158656253001495,-0.459147307003277,0.017706256875170644
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,301,325,FAKE_NEWS_SOURCE,30,-0.0002159999999999997,0.00012524330344362242,-0.00047215131668151714,4.015131668151772e-05,-0.31487531114287326,0.0952367193560865
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,301,325,MIXED_SOURCE,30,-0.00019999999999999998,0.00014659977575997026,-0.0004998302069142985,9.983020691429849e-05,-0.24907839713750515,0.18298083783801725
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,326,350,TRADITIONAL_MEDIA,30,0.00038400000000001394,0.0001485265563158129,8.02290843790212e-05,0.0006877709156210066,0.47202661328518053,0.015020981065766508
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,326,350,UNKNOWN_MEDIA,30,-7.200000000000004e-05,6.95046512956084e-05,-0.00021415297309587553,7.015297309587545e-05,-0.1891289451149951,0.30880914807686044
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,326,350,FAKE_NEWS_SOURCE,30,-0.00022399999999999975,0.00017112581914197346,-0.0005739915978434037,0.00012599159784340428,-0.23898566465369397,0.2008197049766147
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,326,350,MIXED_SOURCE,30,-8.799999999999981e-05,5.319752824609666e-05,-0.00019680116165710844,2.080116165710882e-05,-0.30201644480848056,0.10886981296897709
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,351,400,TRADITIONAL_MEDIA,30,0.00011466666666666662,0.00010007322989189608,-9.00060694921997e-05,0.00031933940282553294,0.209198537228203,0.2612341204067734
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,351,400,UNKNOWN_MEDIA,30,-7.19999999999999e-05,7.202553825497963e-05,-0.00021930876582964718,7.530876582964738e-05,-0.18250945010070976,0.32575069370467535
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,351,400,FAKE_NEWS_SOURCE,30,-1.8666666666666686e-05,1.6799927020458216e-05,-5.3026375394573964e-05,1.5693042061240596e-05,-0.20286108771608716,0.27564601384054926
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,351,400,MIXED_SOURCE,30,-2.400000000000012e-05,1.4300550588226909e-05,-5.3247909961860054e-05,5.247909961859816e-06,-0.30640641652278067,0.10404312439950464
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,during,201,400,TRADITIONAL_MEDIA,30,0.0012489999999999964,0.00029708598159416965,0.00064139094418151,0.0018566090558184828,0.767572932537382,0.00022921359514524835
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,during,201,400,UNKNOWN_MEDIA,30,-0.0008320000000000004,0.00012532110480818794,-0.0010883104383385255,-0.0005756895616614752,-1.212100091578841,2.805790500359014e-07
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,during,201,400,FAKE_NEWS_SOURCE,30,0.0002600000000000002,0.00010021929976794394,5.5028517400818115e-05,0.0004649714825991823,0.4736541606958814,0.014709877830719434
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,during,201,400,MIXED_SOURCE,30,-0.0006770000000000001,0.00010430850573091387,-0.0008903348478474341,-0.0004636651521525661,-1.1849726246600847,4.188076375166492e-07
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,during,1,25,TRADITIONAL_MEDIA,30,-0.0010986666666666755,0.0023548736322263255,-0.005914924022772662,0.00371759068943931,-0.08518001536292374,0.6443077066016171
