condition,policy,strategy,target_reach,wom_receiver_scale,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,target_share_decisions,30,0.05196790621143605,0.001713374650713973,0.04846366158771707,0.05547215083515503,5.537608579741594,1.61442491586477e-23,0.1420650522040122,0.1940329584154482,36.58035907156649,5.650487205526695e-22
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998016666666667,0.9998016666666667,0.0,
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,cumulative_fake_reposts,30,4365.633333333333,172.1078349705136,4013.633287608355,4717.633379058311,4.631119504956106,2.398512395198397e-21,59090.933333333334,63456.566666666666,7.38799184082386,8.63464462271423e-20
flag_only_credibility_r5_0,flag_only,credibility,5.0,0.5,target_unique_reposters_p400,30,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,fake_repost_share_all,30,0.028082,0.0009042112394331556,0.02623268037036176,0.02993131962963824,5.670188627420888,8.291812655628735e-24,0.2954546666666667,0.32353666666666664,9.504673023723885,3.731315695032931e-22
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,fake_repost_share_final100,30,0.018588666666666684,0.0008214031635488884,0.016908708568434922,0.020268624764898446,4.131723413095802,5.62364397192176e-20,0.32870199999999994,0.3472906666666667,5.65517297329091,2.81182198596088e-18
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,target_share_all,30,0.06766466666666666,0.0016587824251840916,0.06427207568083139,0.07105725765250194,7.44752370106408,3.6296855378382344e-27,0.14203683333333336,0.20970149999999999,47.63881669191441,1.6333584920272054e-25
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,target_share_final100,30,0.04333733333333334,0.001475058146785566,0.04032050068765817,0.04635416597900851,5.364045049232879,3.9522793886219367e-23,0.20247533333333328,0.2458126666666667,21.403759470289394,1.9761396943109685e-21
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,fake_repost_share_decisions,30,0.02808753793246476,0.0009043478916113269,0.02623793881774106,0.02993713704718846,5.670449854197194,8.281054659530223e-24,0.2955132950200187,0.32360083295248343,9.504661348844575,3.7264745967886004e-22
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,target_share_decisions,30,0.06767803908285094,0.00165902257040321,0.06428495694489511,0.07107112122080678,7.447917288709035,3.624219176960436e-27,0.1420650522040122,0.20974309128686308,47.638766911979204,1.6308986296321963e-25
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998016666666667,0.9998016666666667,0.0,
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,cumulative_fake_reposts,30,5616.4,180.8422478866309,5246.536074072352,5986.2639259276475,5.670188627420895,8.29181265562847e-24,59090.933333333334,64707.333333333336,9.504673023723885,3.731315695032811e-22
flag_only_informational_r5_0,flag_only,informational,5.0,0.5,target_unique_reposters_p400,30,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,fake_repost_share_all,30,0.06845549999999999,0.0017198524119718867,0.06493800686694166,0.07197299313305831,7.267023083743496,7.30510023935368e-27,0.2954546666666667,0.36391016666666676,23.16954434069975,3.7986521244639137e-25
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,fake_repost_share_final100,30,0.05211333333333334,0.002021306356536085,0.047979297657114485,0.05624736900955219,4.707128819794185,1.5252299344163121e-21,0.32870199999999994,0.38081533333333334,15.854279357391604,7.931195658964823e-20
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,target_share_all,30,0.16179983333333336,0.0029135353912478285,0.1558409843877506,0.16775868227891613,10.139047196001007,5.279046143492661e-31,0.14203683333333336,0.3038366666666667,113.91399648682676,2.745103994616184e-29
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,target_share_final100,30,0.12136466666666665,0.00361108086259067,0.11397917704635809,0.12875015628697523,6.1361282255842,8.91424229393376e-25,0.20247533333333328,0.32383999999999996,59.940470114878195,4.724548415784892e-23
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,fake_repost_share_decisions,30,0.06846904945481885,0.0017201425658661608,0.06495096289041517,0.07198713601922253,7.267235406629857,7.299020907190234e-27,0.2955132950200187,0.3639823444748375,23.169532677093464,3.795490871738922e-25
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,target_share_decisions,30,0.16183189773815407,0.0029140422046408545,0.15587201224279687,0.16779178323351127,10.139292740726416,5.2753733412918495e-31,0.1420650522040122,0.3038969499421664,113.91393958435023,2.743194137471762e-29
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998016666666667,0.9998016666666667,0.0,
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,cumulative_fake_reposts,30,13691.1,343.97048239437737,12987.601373388336,14394.598626611665,7.2670230837434975,7.305100239353641e-27,59090.933333333334,72782.03333333334,23.16954434069976,3.7986521244638935e-25
flag_only_combined_r5_0,flag_only,combined,5.0,0.5,target_unique_reposters_p400,30,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,fake_repost_share_all,30,0.031472999999999994,0.002278066388686766,0.02681383109511162,0.036132168904888365,2.5223836229369843,2.747245078825878e-14,0.27070483333333334,0.30217783333333337,11.626316239889816,6.593388189182107e-13
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,fake_repost_share_final100,30,0.020295333333333332,0.003541565818172021,0.013052017942443955,0.02753864872422271,1.04626149839478,3.343220527685694e-06,0.31594999999999995,0.33624533333333334,6.423590230521707,5.3491528442971104e-05
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,target_share_all,30,0.0717965,0.004615330003705417,0.062357090268197246,0.08123590973180275,2.8401409049369484,1.3086196475744127e-15,0.09035983333333333,0.16215633333333335,79.45621118527959,3.271549118936032e-14
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,target_share_final100,30,0.04754266666666666,0.007292855249202724,0.03262710293521416,0.06245823039811915,1.1902147187198073,3.8754942016446136e-07,0.18585533333333334,0.23339800000000002,25.580469397344878,6.975889562960305e-06
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,fake_repost_share_decisions,30,0.03147949855988702,0.002278483800533407,0.02681947595191692,0.036139521167857125,2.522442256873489,2.745630054136804e-14,0.2707613151231377,0.30224081368302474,11.626291054750812,6.58951212992833e-13
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,target_share_decisions,30,0.07181130233380191,0.0046161648080759905,0.06237018523535508,0.08125241943224874,2.840212731229042,1.3077596118186433e-15,0.09037889702534055,0.16219019935914247,79.45582951036387,3.2693990295466084e-14
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9997921666666667,0.9997921666666667,0.0,
flag_only_credibility_r1_0,flag_only,credibility,1.0,0.5,cumulative_fake_reposts,30,6294.6,455.61327773735337,5362.7662190223255,7226.433780977675,2.522383622936984,2.7472450788258862e-14,54140.96666666667,60435.566666666666,11.62631623988982,6.593388189182127e-13
