research_question,condition,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd,fake_repost_share_during_mean,fake_repost_share_during_sd,fake_repost_share_post100_mean,fake_repost_share_post100_sd
RQ4,control_c3_window25,NONE,,,,1.0,3.0,25.0,-1.0,15,0.13225266666666666,0.014121035204194315,0.10174133333333332,0.034259258157814935,0.004463666666666667,0.000353687042184929,1.3333333333333334e-06,5.1639777949432234e-06,26450.533333333333,2824.2070408388636,268.4,8.60066442616084,0.13225266666666666,0.014121035204194315,,
RQ4,credibility_c3_window25,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,3.0,25.0,-1.0,15,0.13370266666666666,0.014284522701494927,0.10161866666666668,0.03440996240016766,0.007145000000000001,0.0006786725488565368,1.3333333333333334e-06,5.1639777949432234e-06,26740.533333333333,2856.9045402989846,269.1333333333333,8.425019429114236,0.13370266666666666,0.014284522701494927,,
RQ4,control_c3_half0_33,NONE,,,,1.0,3.0,-1.0,0.33,15,0.10410266666666666,0.01891870227981774,0.10350400000000001,0.04059867851473564,0.012154999999999997,0.004084779675820962,0.008693333333333334,0.008343013044857756,20820.533333333333,3783.740455963548,450.26666666666665,34.06813900461977,0.10410266666666666,0.01891870227981774,,
RQ4,credibility_c3_half0_33,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,3.0,-1.0,0.33,15,0.10398533333333333,0.018837746156005374,0.10352133333333333,0.04083541073044092,0.012587666666666669,0.00435316751124424,0.009098666666666668,0.008892495926876987,20797.066666666666,3767.549231201075,453.8,33.55422051375526,0.10398533333333333,0.018837746156005374,,
RQ4,control_c3_half1,NONE,,,,1.0,3.0,-1.0,1.0,15,0.102094,0.0159642639085821,0.09466933333333334,0.03662177483930773,0.0049749999999999985,0.0013129764441364299,0.0,0.0,20418.8,3192.852781716421,265.0,44.71816505307754,0.102094,0.0159642639085821,,
RQ4,credibility_c3_half1,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,3.0,-1.0,1.0,15,0.10246199999999998,0.015809869182615916,0.09466933333333334,0.03662177483930773,0.006373666666666666,0.001802260947756879,0.0,0.0,20492.4,3161.9738365231838,276.6,42.48999882325251,0.10246199999999998,0.015809869182615916,,
RQ4,control_c3_half5,NONE,,,,1.0,3.0,-1.0,5.0,15,0.117917,0.01527751496714791,0.09634799999999998,0.03615802444034479,0.003636666666666667,0.0003783925902828337,0.00027066666666666667,0.00015979749089155968,23583.4,3055.502993429583,231.46666666666667,12.22916108947711,0.117917,0.01527751496714791,,
RQ4,credibility_c3_half5,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,3.0,-1.0,5.0,15,0.11868333333333334,0.014987819300383636,0.09623466666666666,0.03619652664210174,0.005831666666666666,0.0005913141136083096,0.00026266666666666664,0.00016192884974874732,23736.666666666668,2997.5638600767284,240.6,11.39423413084756,0.11868333333333334,0.014987819300383636,,
RQ4,control_c5_window25,NONE,,,,1.0,5.0,25.0,-1.0,15,0.13319566666666666,0.015478535122026554,0.08793866666666665,0.028411499147519895,0.004509,0.000440900863492658,5.333333333333334e-06,1.1872336794093276e-05,26639.133333333335,3095.70702440531,272.06666666666666,11.27238513654793,0.13319566666666666,0.015478535122026554,,
RQ4,credibility_c5_window25,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,25.0,-1.0,15,0.13458633333333334,0.015278445889864706,0.08780133333333333,0.028491804803353206,0.007463333333333332,0.0008182748985052698,5.333333333333334e-06,1.1872336794093276e-05,26917.266666666666,3055.689177972942,273.0,11.313708498984761,0.13458633333333334,0.015278445889864706,,
