study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,target_share_decisions_final100,total_decisions,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1025,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00634,200000,325,343,376,420,1.0,188144,3736,2318,5802,9,16,42
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1026,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0026,200000,391,411,433,458,1.0,190983,3863,2254,2900,4,7,13
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1027,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00602,200000,360,398,410,435,1.0,189668,4487,2510,3335,4,8,18
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1028,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.02652,200000,297,360,383,403,1.0,187733,4812,3350,4105,4,8,50
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1029,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0157,200000,172,199,218,285,1.0,192125,3245,2034,2596,5,135,239
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1030,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00608,200000,274,286,294,384,1.0,191506,4028,2000,2466,4,15,171
news-source-strategies,RQ1,E1-strategy-comparison,informational,1001,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01194,200000,262,263,344,401,1.0,191498,3268,2363,2871,3,11,102
news-source-strategies,RQ1,E1-strategy-comparison,informational,1002,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0026,200000,286,295,331,357,1.0,192715,2976,1807,2502,3,8,123
news-source-strategies,RQ1,E1-strategy-comparison,informational,1003,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01208,200000,213,273,350,396,1.0,190156,4462,2494,2888,7,38,98
news-source-strategies,RQ1,E1-strategy-comparison,informational,1004,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00546,200000,291,303,422,475,1.0,186999,5211,3395,4395,3,10,88
news-source-strategies,RQ1,E1-strategy-comparison,informational,1005,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01414,200000,358,384,424,437,1.0,186906,5389,3391,4314,3,9,30
news-source-strategies,RQ1,E1-strategy-comparison,informational,1006,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00858,200000,363,403,439,457,1.0,187089,3804,2832,6275,8,13,23
