condition,strategy,start_period,end_period,window,window_start,window_end,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,201,-1,during,201,400,target_share_decisions,30,0.0002600000000000002,0.00010021929976794393,5.502851740081814e-05,0.00046497148259918225,0.4736541606958815,0.014709877830719434
credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,201,-1,during,201,400,participation_rate,30,0.0,0.0,0.0,0.0,,
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,during,1,25,false_rate_agent_period,30,0.0021279999999999997,0.0007536904453131418,0.000586529960253365,0.003669470039746634,0.5154873195925644,0.008499759091770746
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,during,1,25,false_share_decisions,30,0.0021279999999999997,0.0007536904453131418,0.000586529960253365,0.003669470039746634,0.5154873195925644,0.008499759091770746
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,during,1,25,target_share_decisions,30,0.0049759999999999995,0.0005716412346475936,0.0038068624022334053,0.006145137597766593,1.58926454855081,1.390955586510674e-09
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,during,1,25,participation_rate,30,0.0,0.0,0.0,0.0,,
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_1_25,26,50,false_rate_agent_period,30,-0.0021200000000000017,0.0004894510178256609,-0.0031210397300290653,-0.001118960269970938,-0.7907987926754805,0.00016164308377141406
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_1_25,26,50,false_share_decisions,30,-0.0021200000000000017,0.0004894510178256609,-0.0031210397300290653,-0.001118960269970938,-0.7907987926754805,0.00016164308377141406
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_1_25,26,50,target_share_decisions,30,-0.001802666666666667,0.0003504109027503048,-0.0025193374318980702,-0.0010859959014352639,-0.9392413204482508,1.6978014892840388e-05
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_1_25,26,50,participation_rate,30,0.0,0.0,0.0,0.0,,
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_26_50,51,75,false_rate_agent_period,30,-0.0010160000000000008,0.0006292213031007946,-0.0023029020605631117,0.00027090206056311025,-0.2948014822357374,0.11720644152391872
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_26_50,51,75,false_share_decisions,30,-0.0010160000000000008,0.0006292213031007946,-0.0023029020605631117,0.00027090206056311025,-0.2948014822357374,0.11720644152391872
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_26_50,51,75,target_share_decisions,30,-0.00072,0.00036226617508290133,-0.0014609175196215855,2.0917519621585414e-05,-0.3628641668550975,0.056384738383847104
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_26_50,51,75,participation_rate,30,0.0,0.0,0.0,0.0,,
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_51_100,76,125,false_rate_agent_period,30,-9.466666666666766e-05,8.711959455133718e-05,-0.00027284624385364516,8.351291052030985e-05,-0.1983903814221796,0.2861506358912868
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_51_100,76,125,false_share_decisions,30,-9.466666666666766e-05,8.711959455133718e-05,-0.00027284624385364516,8.351291052030985e-05,-0.1983903814221796,0.2861506358912868
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_51_100,76,125,target_share_decisions,30,1.7333333333333407e-05,3.375003902367552e-05,-5.1693246901023235e-05,8.635991356769005e-05,0.09376638702316774,0.6114369335606398
informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1,25,post_51_100,76,125,participation_rate,30,0.0,0.0,0.0,0.0,,
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,during,1,100,false_rate_agent_period,30,-0.00011066666666666863,0.00036640877032786766,-0.0008600567448786172,0.00063872341154528,-0.05514299384173278,0.7647842345285815
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,during,1,100,false_share_decisions,30,-0.00011066666666666863,0.00036640877032786766,-0.0008600567448786172,0.00063872341154528,-0.05514299384173278,0.7647842345285815
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,during,1,100,target_share_decisions,30,0.0015253333333333336,0.00030264418368061984,0.0009063564778506755,0.002144310188815992,0.9201779068527914,2.2695540988958724e-05
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,during,1,100,participation_rate,30,0.0,0.0,0.0,0.0,,
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,post_1_25,101,125,false_rate_agent_period,30,-0.0002560000000000009,0.0003042902425713607,-0.0008783434239186984,0.00036634342391869657,-0.15360003389794313,0.40706278238727195
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,post_1_25,101,125,false_share_decisions,30,-0.0002560000000000009,0.0003042902425713607,-0.0008783434239186984,0.00036634342391869657,-0.15360003389794313,0.40706278238727195
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,post_1_25,101,125,target_share_decisions,30,-0.00045333333333333315,0.00025783061950142847,-0.000980656158987093,7.39894923204265e-05,-0.3210129363427547,0.08925435477548621
informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1,100,post_1_25,101,125,participation_rate,30,0.0,0.0,0.0,0.0,,
