phase,memory,wom,fake_effect,true_effect,contacts,friends,source_reach,target_reach,cell,timing,scope,fake,fake_se,fake_low,fake_high,n_pairs,target,target_se,target_low,target_high,cumulative,cumulative_se,cumulative_low,cumulative_high
robustness,25,1,-1,1,27,0.33,1,46.7,robust_c27_medium_noncred_p1,1,non-credibility,1.5909090909072757e-05,5.821909317326749e-05,-0.00011381113251769336,0.0001456293143358389,11,0.00027272727272727274,0.00012360377244236307,-2.6790949036267385e-06,0.0005481336403581722,974.5454545454545,70.23653072250853,818.0487116139057,1131.0421974770034
robustness,25,1,-1,1,27,0.33,0,default,robust_c27_off_noncred_p1,1,non-credibility,9.545454545455386e-05,0.00010156828098614143,-0.0001308536875401266,0.00032176277844923434,11,0.0003409090909090909,9.349724882150321e-05,0.0001325842382560717,0.0005492339435621101,815.0909090909091,54.048371356415466,694.6636329850977,935.5181851967205
robustness,25,1,-1,1,27,0.33,1,14.7,robust_c27_original_noncred_p1,1,non-credibility,8.636363636363946e-05,3.892937024623792e-05,-3.764059653616939e-07,0.00017310367869264063,11,0.00012954545454545456,6.084800192975095e-05,-6.032342619959313e-06,0.00026512325171086843,301.27272727272725,40.107829865612594,211.90691328030042,390.6385412651541
robustness,25,1,-1,1,27,0.33,1,81.2,robust_c27_traditional_noncred_p1,1,non-credibility,0.0003090909090909255,0.00014756634591356354,-1.9707399484731366e-05,0.0006378892176665824,11,0.0006136363636363455,0.00016676615487927864,0.00024205821475346443,0.0009852145125192266,1837.8181818181818,73.31498894022822,1674.4622065275153,2001.1741571088482
robustness,25,1,-1,1,6,0.33,1,46.7,robust_c6_medium_noncred_p1,1,non-credibility,0.0017613636363636076,0.0004209616107033426,0.0008234027163607691,0.0026993245563664463,11,0.0018045454545454545,0.00036025272350585834,0.0010018523647681828,0.0026072385443227262,1571.0,68.92446458393289,1417.4267226081872,1724.5732773918128
robustness,25,1,-1,1,6,0.33,0,default,robust_c6_off_noncred_p1,1,non-credibility,0.0004931818181817954,0.0005538100563482004,-0.0007407838849883375,0.0017271475213519283,11,0.001299999999999982,0.0003158142434464191,0.0005963220141663641,0.0020036779858336,1082.5454545454545,64.0883429531404,939.7477276521416,1225.3431814387673
robustness,25,1,-1,1,6,0.33,1,14.7,robust_c6_original_noncred_p1,1,non-credibility,0.0004409090909090726,0.00036077997461423213,-0.0003629587875475196,0.0012447769693656647,11,0.000809090909090909,0.00029615476465540645,0.0001492169717613466,0.0014689648464204716,574.0,69.66178031290642,418.7838807862807,729.2161192137194
robustness,25,1,-1,1,6,0.33,1,81.2,robust_c6_traditional_noncred_p1,1,non-credibility,0.0014045454545454708,0.00033275397309659444,0.0006631233989361534,0.002145967510154788,11,0.0019431818181818092,0.0003737720943468064,0.0011103656929794107,0.0027759979433842077,2334.2727272727275,97.65543236847799,2116.682864305004,2551.862590240451
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_all_p100,100,all,-0.005529545454545441,0.00019434675494338634,-0.0059625770099922554,-0.005096513899098626,11,0.008434090909090917,0.0003016295275678827,0.007762018439810653,0.009106163378371182,-838.0,29.77979791127475,-904.353524730411,-771.646475269589
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_all_p1,1,all,-0.011565909090909054,0.0009470244832636731,-0.013676011135851068,-0.00945580704596704,11,0.08537499999999999,0.0031973639710918596,0.0782508291120691,0.09249917088793089,-2572.0,115.64035156073727,-2829.66276016983,-2314.33723983017
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_all_p25,25,all,-0.007006818181818172,0.0002872101485349705,-0.007646762272453689,-0.006366874091182656,11,0.025420454545454566,0.0008778513165019923,0.023464479920889177,0.027376429170019954,-1470.2727272727273,50.46620667861738,-1582.7184430857237,-1357.8270114597308
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_all_p50,50,all,-0.006081818181818183,0.00024238612389708316,-0.006621888121655633,-0.005541748241980733,11,0.015579545454545474,0.0005631669599624794,0.014324731270898075,0.016834359638192874,-1154.7272727272727,45.55897095754846,-1256.2389859743007,-1053.2155594802448
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_credibility_p100,100,credibility,-0.004961363636363622,0.00017163530431105927,-0.0053437909262715804,-0.004578936346455664,11,0.002224999999999991,0.00010252494153309064,0.0019965601944724903,0.0024534398055274915,-791.5454545454545,28.061738310817333,-854.0709039300583,-729.0200051608507
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_credibility_p1,1,credibility,-0.005645454545454562,0.0002891173515636868,-0.006289648149256987,-0.005001260941652137,11,0.01134772727272728,0.00044838668561265514,0.010348659477800368,0.012346795067654192,-1646.0,39.75058604485084,-1734.5698251557556,-1557.4301748442444
